Top 35 values of Primary Type,Count of records
THEFT,"647,381"
BATTERY,"604,776"
CRIMINAL DAMAGE,"380,673"
NARCOTICS,"358,885"
ASSAULT,"205,47"
OTHER OFFENSE,"205,004"
MOTOR VEHICLE THEFT,"170,268"
BURGLARY,"169,51"
ROBBERY,"118,386"
DECEPTIVE PRACTICE,"102,573"
CRIMINAL TRESPASS,"100,188"
PROSTITUTION,"42,677"
WEAPONS VIOLATION,"32,462"
OFFENSE INVOLVING CHILDREN,"19,35"
PUBLIC PEACE VIOLATION,"18,397"
SEX OFFENSE,"13,438"
HOMICIDE,"13,145"
CRIM SEXUAL ASSAULT,"9,997"
LIQUOR LAW VIOLATION,"8,281"
GAMBLING,"7,248"
ARSON,"5,997"
KIDNAPPING,"3,94"
INTERFERENCE WITH PUBLIC OFFICER,"3,9"
INTIMIDATION,"2,132"
CRIMINAL SEXUAL ASSAULT,"1,782"
STALKING,"1,719"
OBSCENITY,162
CONCEALED CARRY LICENSE VIOLATION,124
OTHER NARCOTIC VIOLATION,51
PUBLIC INDECENCY,49
RITUALISM,22
HUMAN TRAFFICKING,10
NON-CRIMINAL,2
DOMESTIC VIOLENCE,1
